구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,산업용 계,
,,,,,,,식료품제조,"섬유,의류","목재,나무","펄프,종이","출판,인쇄","석유,화확","의료,광학",요업,1차금속,조립금속,기타기계,사무기기,전기기기,"영상,음향",자동차,기타운송,가구및기타,재생재료,제조업 계,,
강원,1928362,1338782,6179523,7518305,577378,401251,497108,13250,19039,23602,7282,165493,81252,3744457,1116385,41821,29997,989,33471,34162,122824,125638,13202,3501,6073473,7052102,24017073
개성,11,408,1105,1513,0,21,100,7524,0,844,686,570,0,164,943,1814,1684,225,356,2152,1122,94,654,0,18932,18953,21991
경기,16311036,5337048,32219335,37556383,2338988,299012,2475853,2104730,538295,1870281,716775,6579585,1197404,1665158,1991480,2184649,3448575,291569,1081652,22171639,3045166,50125,1362136,123408,52898480,55536480,146960284
경남,4226226,1388559,8416652,9805211,2050330,87007,925244,347441,60612,823178,29683,1799001,165548,424389,3744411,1651977,1861373,5410,940308,589690,2173414,2573952,168228,44843,18328702,20466039,44302688
경북,3293587,1522577,8140209,9662786,1662500,229232,556234,3764806,70680,368699,44757,3432961,205322,1214171,10973129,904541,744486,13021,694446,4161617,2408913,120884,46212,74520,29799399,31691131,54310289
광주,1948144,549136,3115344,3664480,74005,2280,161844,308617,6064,41467,22430,394338,20653,23018,74497,143194,177443,4673,222808,730433,508656,7827,6143,15353,2869458,2945743,12222849
대구,3143661,779742,5368813,6148555,68684,4703,211378,1108447,15916,428370,46059,409916,79060,65287,318951,625083,510313,45415,187243,320261,1393384,70535,39146,27744,5902508,5975895,21416669
대전,1899110,945572,3935470,4881042,27562,2113,203781,44281,4478,548247,15727,623711,98456,50190,57662,79605,72182,2928,80218,442603,217281,4522,21764,2171,2569807,2599482,14260675
부산,4472262,1220802,7539824,8760626,106631,23195,527116,537561,54228,25880,34301,442666,70536,75080,2167251,718849,850059,3537,103776,89757,1073851,266209,51060,12660,7104377,7234203,29227719
서울,13311577,3665453,27585977,31251430,14684,3594,232568,509844,4351,42941,311975,180145,47329,31505,23944,63433,171729,4983,12262,103691,20582,17921,129841,2907,1911951,1930229,77744664
세종,333148,274841,590633,865474,79228,20193,114202,75639,1393,356394,2751,243184,13292,316587,26009,12604,22391,14940,34868,182092,80051,0,4956,2470,1503823,1603244,3667340
울산,1488489,450158,3843139,4293297,76079,21516,198879,968550,13421,635512,3063,14810683,21374,182931,4803598,401555,163592,4509,374310,22027,2384823,1219543,6266,1205,26215841,26313436,36388514
인천,3819581,891181,6846858,7738039,142255,92925,625099,77205,644686,58092,68965,1963474,2444405,189695,2100917,736179,900644,9660,205217,1078104,651624,51618,236218,41256,12083058,12318238,31613896
전남,2281952,930548,5422859,6353407,2881301,68567,496832,158529,26791,321116,7131,13174201,44250,573029,5568202,128425,65225,486,140864,43992,78299,641852,10474,31976,21511674,24461542,39450309
전북,2340425,1057537,4814017,5871554,1384058,69160,1442112,777728,274701,1349266,13659,4574459,91145,596502,1975919,124671,157323,6347,130350,418468,860890,164143,16345,94271,13068299,14521517,28605049
제주,735092,286688,2141850,2428538,1328839,7239,161661,1151,1504,19067,2317,16421,4207,22807,973,3165,961,0,760,0,778,487,1548,686,238493,1574571,7166739
충남,2629227,1065147,7167562,8232709,1875034,292888,1046008,269725,131010,814073,48970,7443547,765080,907359,9598797,513282,557209,14466,425442,10144897,2659075,33348,29923,21863,35424074,37591996,56686640
충북,2011175,1204239,4652918,5857157,709252,129606,1122785,350549,50726,888072,22088,2228843,510595,2493113,461721,702551,361567,30266,988087,3961941,595838,86774,403028,43129,15301673,16140531,29866020
합계,66173065,22908419,137982086,160890505,15396810,1754503,10998804,11425575,1917895,8615101,1398619,58483202,5859907,12575440,45004788,9037399,10096754,453424,5656438,44497525,18276571,5435471,2547145,543961,252824020,269975333,657929409
