,   28. 행 정 구 역 별  용 도 별  판 매 전 력 량 (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,   28. 행 정 구 역 별  용 도 별  판 매 전 력 량 (2),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,"('22.12.31 현재, 단위 : MWh)   Power sales by province & usage",,,,,,,,"
          (As of Dec. 31. '22,  Unit : MWh)",,,"('22.12.31 현재, 단위 : MWh)   Power sales by province & usage",,,,,,,"
",,,"
21,  비 금 속,22692.272,87313.656,77271.861,202620.269,22332.764,36893.749,171581.715,400851.424,1764804.091,  Non-metal,  비 금 속,3088865.029,2361003.052,887873.543,593437.523,555146.586,1052451.158,446253.93,26705.561,11798098.183,  Non-metal
22,  1 차 금속,12209.396,1876308.256,284163.39,1961717.68,45593.134,49150.267,3905497.863,39145.666,1989369.843,  Basic metal,  1 차 금속,1032632.838,397056.201,4760849.187,2359041.669,4134279.827,8559279.499,3634606.661,2646.699,35043548.076000005,  Basic metal
23,  금속가공,49165.165,790408.309,610077.131,591608.913,152763.897,52244.655,203251.299,12602.371,2107354.903,  Fabricated metal,  금속가공,36380.593,799053.134,564695.153,138320.824,135635.022,796904.046,1615638.957,2888.131,8658992.502999999,  Fabricated metal
24,  전자·통신,57524.236,102226.779,293622.297,1385963.779,799169.412,225366.32,37321.724,254928.981,35973674.528,"  Electronic, computer",  전자·통신,63910.326,5269241.002,10552175.411,450530.611,55980.241,4026261.716,642572.308,1638.995,60192108.66599999,"  Electronic, computer"
25,  의료·광학,42209.442,74782.022,92253.253,1971475.335,30905.918,48213.396,20107.406,5185.611,610609.648,"  Medical, optical",  의료·광학,38626.36,97044.87,573036.492,29450.049,11340.433,195153.426,248431.052,829.027,4089653.74,"  Medical, optical"
26,  전기장비,20629.092,145180.12,345496.695,176560.199,214136.202,90055.696,596598.941,72778.088,1102855.678,  Electrical equipment,  전기장비,36185.603,1611293.548,912883.653,147319.37,602365.209,1176768.085,966754.24,1363.315,8219223.734000001,  Electrical equipment
27,  기타기계,130011.226,991814.499,502109.698,875680.346,186909.847,97275.819,188376.973,34539.783,4010473.083,  Other Machinery,  기타기계,31258.122,501182.477,846540.648,163722.85,69394.525,856409.235,1902952.876,2358.892,11391010.899,  Other Machinery
28,  자 동 차,17162.524,1141996.538,1344878.892,509997.184,511515.41,197990.429,2302893.814,80872.764,2966597.73,  Motor vehicles,  자 동 차,171310.731,740918.117,2851711.869,841565.781,74005.832,2495338.132,2267549.745,294.441,18516599.933000002,  Motor vehicles
29,  기타운송,20410.83,213351.172,48155.085,54708.951,5201.547,9410.706,1036885.631,178.761,87955.121,  Other transport,  기타운송,37092.106,25915.957,35100.513,46822.83,592840.227,144342.619,1866979.805,375.295,4225727.1559999995,  Other transport
30,  가      구,3231.962,8926.392,15525.518,115206.865,5284.683,4067.406,1838.798,562.534,441143.954,  Furniture,  가      구,7699.145,25935.186,9859.137,6184.635,7868.381,23305.878,21545.442,1273.417,699459.3330000001,  Furniture
31,  기타제품,103130.435,35417.826,31904.601,401582.236,2064.493,19730.43,864.247,4143.575,1209204.144,  Other manufacture,  기타제품,8947.167,592825.439,77816.296,16003.541,5920.614,25050.105,266779.201,1417.633,2802801.983,  Other manufacture
32,  산업기계,1475.749,2722.164,1829.951,4037.474,1686.973,651.875,1058.49,304.52,15791.342,  Industrial machinery,  산업기계,3070.709,5103.647,6105.651,5438.882,13227.866,6085.449,10468.647,1309.629,80369.018,  Industrial machinery
33,  합          계 ,48788677.386,21493647.968000002,16039260.228,25506863.978,9116870.722,10016877.128999999,32919180.71599999,3182079.2879999997,140531011.87,Total,  합          계 ,17325520.416,29412226.655,50259638.116,21838473.953999996,34665104.611999996,44601033.371999994,36190919.775000006,6045356.027999999,547932742.2129999,Total
34,※ 제10차 한국표준산업분류 개정으로 새 분류표 적용,,,,,,,,,,,,,,,,,,,,,
