,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,일자,계(명),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
4,누적(명),34571873,6751223,2092592,1516396,1991875,1018481,1013271,738120,273413,9266555,1005827,1075459,1390748,1167903,1142438,1581188,2075970,451522,18892
5,2020-01-20 00:00:00,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2020-01-21 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2020-01-22 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2020-01-23 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2020-01-24 00:00:00,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2020-01-25 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2020-01-26 00:00:00,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
12,2020-01-27 00:00:00,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
13,2020-01-28 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2020-01-29 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2020-01-30 00:00:00,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,2020-01-31 00:00:00,4,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
17,2020-02-01 00:00:00,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
18,2020-02-02 00:00:00,3,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
19,2020-02-03 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,2020-02-04 00:00:00,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
21,2020-02-05 00:00:00,5,2,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-
22,2020-02-06 00:00:00,3,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
23,2020-02-07 00:00:00,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
