local_id,year,month,home,office,industry,change(home),change(office),change(industry)
11,2020,1,1172543,2881635,142846,6.8016249647043825,6.033332241711555,4.224550548680831
11,2020,2,1164350,2735225,137815,-0.6987377008774944,-5.080796145243933,-3.521974714027694
11,2020,3,1096475,2430766,130202,-5.82943273070812,-11.131040408010309,-5.524072125675724
11,2020,4,1098846,2193736,118383,0.21623840032832486,-9.751247137733538,-9.077433526366722
11,2020,5,1037109,2154002,104726,-5.618348704004019,-1.8112480261982298,-11.536284770617403
11,2020,6,1110632,2500400,119260,7.0892259155016495,16.08160066703745,13.87812004659779
11,2020,7,1190186,2755448,128390,7.162948663463685,10.200287953927372,7.65554251215831
11,2020,8,1381160,2928406,128966,16.04572730648823,6.276946616303411,0.4486330711114573
11,2020,9,1429411,2719212,135722,3.4935126994700103,-7.143613283130823,5.238590015973203
11,2020,10,1054269,2155341,103801,-26.24451609788927,-20.736558973702675,-23.519399949897586
11,2020,11,1085618,2250356,114704,2.973529526145604,4.408351161138771,10.503752372327819
11,2020,12,1162100,2604402,131463,7.045019518836276,15.732888485199675,14.610650020923421
11,2021,1,1296892,2957878,145639,11.599001807073401,13.572251902740055,10.783262210660034
11,2021,2,1239042,2754851,140151,-4.4606644192423115,-6.863940973900884,-3.7682214242064282
11,2021,3,1064710,2365228,120812,-14.06990239233214,-14.143160555688855,-13.798688557341723
11,2021,4,1088228,2236928,124100,2.2088643856073484,-5.424424199273812,2.721583948614376
11,2021,5,1037349,2174433,112979,-4.675398905376447,-2.7937868362325475,-8.961321514907333
11,2021,6,1103096,2476431,122093,6.337982684708811,13.888586127969912,8.066985900034519
11,2021,7,1360522,2908669,137360,23.336681485564267,17.454069990239987,12.50440238179093
11,2021,8,1805751,3149879,148237,32.7248658970601,8.292796464637261,7.918608037274316
11,2021,9,1306689,2704284,134108,-27.637365284582426,-14.146416417900499,-9.531358567699023
11,2021,10,1106205,2358219,114189,-15.342901026946734,-12.796917779345659,-14.852954335311837
11,2021,11,1101162,2317422,118555,-0.45588295117089506,-1.7299919981986407,3.823485624709911
11,2021,12,1146475,2684746,132477,4.115016682377344,15.850544268588113,11.743072835392855
11,2022,1,1268167,3098081,151768,10.614448636036547,15.395683614017862,14.561772987009066
11,2022,2,1249190,2933022,145161,-1.4964117501874752,-5.327781939852444,-4.353355120974118
11,2022,3,1108591,2573923,130487,-11.255213378269119,-12.243310824126107,-10.108775773107102
11,2022,4,1096677,2368957,121342,-1.0746975214483971,-7.963175277582119,-7.008360986151878
11,2022,5,1042289,2330403,111589,-4.959345367870394,-1.6274672777935606,-8.0376126979941
11,2022,6,1084938,2603546,119384,4.091859359544234,11.72084828246445,6.985455555655127
11,2022,7,1401278,3094563,136249,29.157426507321155,18.85954770916281,14.12668364269919
11,2022,8,1660450,3272563,140582,18.49540205441033,5.752023791404473,3.180206827206071
11,2022,9,1321934,2843930,127321,-20.387003523141317,-13.097776880078396,-9.432928824458322
11,2022,10,1085740,2412087,110496,-17.867306537240136,-15.184726768942976,-13.214630736484947
11,2022,11,1079581,2345238,112280,-0.5672628806159854,-2.7714174488731125,1.6145380828265277
11,2022,12,1151263,2829389,126197,6.639798218012359,20.644002868791993,12.394905593159958
21,2020,1,409067,821868,601493,8.484541495833708,9.938748128935256,-2.799692316642373
21,2020,2,413059,781141,588016,0.9758792569432391,-4.955418631702415,-2.24059132857739
21,2020,3,386044,675111,608954,-6.540227909330144,-13.573733807340801,3.560787461565672
21,2020,4,393433,638623,575011,1.9140305250178735,-5.404740850023181,-5.5739842418310745
21,2020,5,364865,620515,524718,-7.261210930450673,-2.8354757031926505,-8.746441372425918
21,2020,6,370519,688480,556015,1.5496142408836144,10.952998718806153,5.964537141855244
21,2020,7,377832,743489,580215,1.9737179469878736,7.989919823379038,4.3524005647329655
21,2020,8,473638,843973,566173,25.356772322090244,13.51519659335915,-2.420137362874107
21,2020,9,511843,829863,602560,8.066286911100882,-1.6718544313621408,6.426834200853802
21,2020,10,364706,640624,549992,-28.746510160342137,-22.80364349296209,-8.724110462028678
21,2020,11,375466,649313,599100,2.950321628928507,1.3563338245210919,8.928857147013048
21,2020,12,397009,760474,620748,5.737669988760633,17.11978660522737,3.6134201301952933
21,2021,1,445066,780568,636644,12.104763368084855,2.6422994080007993,2.560781508760399
21,2021,2,429626,759512,573195,-3.4691483959682383,-2.697522829529266,-9.966166334717675
21,2021,3,370842,678574,607074,-13.682598352986087,-10.656579487881693,5.910553999947662
21,2021,4,385927,655968,612444,4.067770101552683,-3.331397902071108,0.8845709089830893
21,2021,5,362825,624555,584840,-5.986106180702568,-4.78880067320357,-4.507187595927138
21,2021,6,376662,686828,613462,3.8136842830565696,9.970779194786688,4.893988099309213
21,2021,7,420392,796379,644608,11.609878352475162,15.95028158432679,5.0770870893388675
21,2021,8,557261,874654,605302,32.557470170697826,9.828862890658845,-6.097659352660842
21,2021,9,464201,782966,595120,-16.69953576510827,-10.48277375968097,-1.6821355290417017
21,2021,10,385219,706026,589639,-17.014612204626875,-9.826735771412807,-0.9209907245597526
21,2021,11,383089,691908,599219,-0.552932228161124,-1.999643072634719,1.6247229236872052
21,2021,12,393771,757230,636218,2.788385988634495,9.440850517698884,6.174537189241329
21,2022,1,434004,841688,645226,10.217359836046839,11.153546478612839,1.415866888393601
21,2022,2,436000,803817,576829,0.4599035953585681,-4.499410708005817,-10.6004717726812
21,2022,3,384909,741704,617985,-11.718119266055046,-7.7272563282438655,7.134870126155238
21,2022,4,395933,694334,604113,2.864053581495886,-6.386644807092856,-2.244714677540717
