Year,Month,지역,local_id,가정용,업무용,산업용
2020,10,서  울,11,1054269,2155341,103801
2020,10,부  산,21,364706,640624,549992
2020,10,대  구,22,254063,445042,403408
2020,10,인  천,23,324640,583936,875234
2020,10,광  주,24,162873,262700,219134
2020,10,대  전,25,151423,394125,184069
2020,10,울  산,26,122082,297534,2351153
2020,10,경  기,31,1480196,2931616,5095858
2020,10,강  원,32,167904,517361,551611
2020,10,충  북,33,172302,418416,1499909
2020,10,충  남,34,230307,596851,2892987
2020,10,전  북,35,190097,411681,993175
2020,10,전  남,36,188158,511829,1812680
2020,10,경  북,37,273999,734679,2266481
2020,10,경  남,38,351687,751071,1467455
2020,10,제  주,39,66005,210047,114717
2020,10,세  종,29,44175,82974,138912
2020,11,서  울,11,1085618,2250356,114704
2020,11,부  산,21,375466,649313,599100
2020,11,대  구,22,264569,472083,454070
2020,11,인  천,23,338975,631356,915120
2020,11,광  주,24,167079,277441,236914
2020,11,대  전,25,158121,361679,193930
2020,11,울  산,26,124906,304818,2283424
2020,11,경  기,31,1544219,3207661,5390699
2020,11,강  원,32,178181,614284,568186
2020,11,충  북,33,183232,500796,1575081
2020,11,충  남,34,240430,666792,3101524
2020,11,전  북,35,198827,470294,1026348
2020,11,전  남,36,195813,568581,1652599
2020,11,경  북,37,287765,796227,2372228
2020,11,경  남,38,366075,822359,1659380
2020,11,제  주,39,67901,218533,124988
2020,11,세  종,29,44455,91407,152192
2020,12,서  울,11,1162100,2604402,131463
2020,12,부  산,21,397009,760474,620748
2020,12,대  구,22,276798,553546,487188
2020,12,인  천,23,362643,739667,989429
2020,12,광  주,24,175508,316752,242353
2020,12,대  전,25,165991,450227,203076
2020,12,울  산,26,130255,331890,2393073
2020,12,경  기,31,1645029,3800888,5807996
2020,12,강  원,32,190107,758033,547840
2020,12,충  북,33,194233,609813,1629983
2020,12,충  남,34,255075,791337,3220184
2020,12,전  북,35,210993,557020,1062084
2020,12,전  남,36,208956,642298,1807230
2020,12,경  북,37,304589,936140,2445977
2020,12,경  남,38,393001,924092,1822565
2020,12,제  주,39,75111,239563,141585
2020,12,세  종,29,46364,107083,157294
2021,01,서  울,11,1296892,2957878,145639
2021,01,부  산,21,445066,780568,636644
2021,01,대  구,22,309709,628514,505614
2021,01,인  천,23,404522,841610,1012491
2021,01,광  주,24,195429,366805,249628
2021,01,대  전,25,186458,512600,213744
2021,01,울  산,26,146725,374594,2422465
2021,01,경  기,31,1839465,4391913,6088209
2021,01,강  원,32,217506,901509,510795
2021,01,충  북,33,219869,731791,1644748
2021,01,충  남,34,288566,934173,3211455
2021,01,전  북,35,236602,654577,1105956
2021,01,전  남,36,233837,744261,1866558
2021,01,경  북,37,341390,1070394,2586696
2021,01,경  남,38,437427,1054684,1957129
2021,01,제  주,39,87794,252712,177749
2021,01,세  종,29,52480,122502,159192
2021,02,서  울,11,1239042,2754851,140151
2021,02,부  산,21,429626,759512,573195
2021,02,대  구,22,300322,577655,465010
2021,02,인  천,23,388677,775723,925030
2021,02,광  주,24,189546,340267,237413
2021,02,대  전,25,182892,471004,193244
2021,02,울  산,26,143187,331983,2171623
2021,02,경  기,31,1773486,4084601,5606085
2021,02,강  원,32,210982,847219,481403
2021,02,충  북,33,213163,680359,1480078
2021,02,충  남,34,280398,885932,2873114
2021,02,전  북,35,229207,615794,985232
2021,02,전  남,36,226386,703053,1809460
2021,02,경  북,37,327694,987291,2358388
2021,02,경  남,38,415886,984002,1731442
2021,02,제  주,39,82459,241594,179269
2021,02,세  종,29,53385,111043,139581
2021,03,서  울,11,1064710,2365228,120812
2021,03,부  산,21,370842,678574,607074
2021,03,대  구,22,260220,495944,466582
2021,03,인  천,23,335626,681654,1004021
2021,03,광  주,24,164434,295911,237415
2021,03,대  전,25,155500,413927,202527
2021,03,울  산,26,122957,307055,2382588
2021,03,경  기,31,1528106,3490917,5649262
2021,03,강  원,32,177664,692867,524541
2021,03,충  북,33,179011,561480,1604419
2021,03,충  남,34,237405,746554,3093425
2021,03,전  북,35,195993,519164,1055994
2021,03,전  남,36,195854,640150,1888000
2021,03,경  북,37,283531,878627,2459312
