"행정구역","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상","2021년04월_계_총인구수","2021년04월_계_연령구간인구수","2021년04월_계_0~9세","2021년04월_계_10~19세","2021년04월_계_20~29세","2021년04월_계_30~39세","2021년04월_계_40~49세","2021년04월_계_50~59세","2021년04월_계_60~69세","2021년04월_계_70~79세","2021년04월_계_80~89세","2021년04월_계_90~99세","2021년04월_계_100세 이상","2021년05월_계_총인구수","2021년05월_계_연령구간인구수","2021년05월_계_0~9세","2021년05월_계_10~19세","2021년05월_계_20~29세","2021년05월_계_30~39세","2021년05월_계_40~49세","2021년05월_계_50~59세","2021년05월_계_60~69세","2021년05월_계_70~79세","2021년05월_계_80~89세","2021년05월_계_90~99세","2021년05월_계_100세 이상","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"전국  (0000000000)","51,705,905","51,705,905","3,908,794","4,761,113","6,767,952","6,812,701","8,250,451","8,613,059","6,876,287","3,694,544","1,756,509","252,860","11,635","51,702,100","51,702,100","3,891,405","4,753,626","6,761,949","6,802,386","8,244,087","8,604,370","6,918,145","3,693,918","1,766,149","254,459","11,606","51,683,025","51,683,025","3,874,174","4,746,103","6,754,283","6,788,072","8,220,344","8,606,589","6,957,802","3,694,633","1,774,716","255,247","11,062","51,672,400","51,672,400","3,859,229","4,741,570","6,745,313","6,775,108","8,216,263","8,590,314","7,001,815","3,694,311","1,782,343","255,357","10,777","51,671,569","51,671,569","3,843,759","4,737,829","6,733,054","6,764,334","8,205,797","8,591,085","7,039,371","3,699,044","1,790,233","256,245","10,818","51,669,716","51,669,716","3,827,185","4,733,729","6,721,376","6,753,189","8,192,793","8,598,568","7,072,000","3,703,046","1,799,074","257,821","10,935"
"서울특별시  (1100000000)","9,598,484","9,598,484","611,000","773,744","1,450,425","1,460,545","1,511,822","1,513,916","1,255,009","698,222","280,381","40,690","2,730","9,588,711","9,588,711","607,863","770,905","1,448,195","1,458,508","1,508,768","1,511,117","1,259,839","697,684","282,213","40,883","2,736","9,575,355","9,575,355","605,053","768,326","1,445,718","1,455,366","1,503,313","1,509,933","1,264,139","696,670","283,490","40,827","2,520","9,565,990","9,565,990","602,526","766,572","1,443,208","1,452,328","1,501,071","1,506,232","1,269,804","696,049","284,923","40,808","2,469","9,558,153","9,558,153","599,600","764,952","1,440,484","1,449,434","1,497,354","1,505,745","1,274,190","696,452","286,511","40,954","2,477","9,550,227","9,550,227","596,448","763,356","1,439,293","1,446,242","1,493,290","1,505,336","1,277,991","696,313","288,376","41,066","2,516"
"부산광역시  (2600000000)","3,372,399","3,372,399","228,788","269,772","427,087","413,824","507,745","562,268","536,731","293,083","117,687","14,652","762","3,369,704","3,369,704","227,645","269,088","426,109","413,070","507,314","560,443","538,609","293,433","118,489","14,737","767","3,367,334","3,367,334","226,629","268,529","425,129","412,056","506,123","559,326","540,745","294,051","119,162","14,830","754","3,364,358","3,364,358","225,716","268,079","424,072","411,026","505,849","557,505","542,673","294,173","119,680","14,827","758","3,361,781","3,361,781","224,799","267,659","422,488","409,975","505,116","556,481","544,644","294,713","120,274","14,876","756","3,359,527","3,359,527","223,790","267,212","421,122","408,986","504,235","556,023","546,088","295,340","120,959","15,020","752"
"대구광역시  (2700000000)","2,408,875","2,408,875","175,023","223,056","318,439","290,921","380,397","422,961","332,302","176,041","79,451","9,757","527","2,406,296","2,406,296","174,060","222,409","317,686","290,180","379,728","422,181","333,756","175,962","79,992","9,815","527","2,402,940","2,402,940","173,269","221,672","316,866","289,317","378,018","421,792","335,269","176,065","80,339","9,830","503","2,397,646","2,397,646","172,618","221,070","316,026","288,200","377,140","420,147","336,363","175,664","80,372","9,677","369","2,395,749","2,395,749","171,893","220,577","315,051","287,590","376,422","419,517","337,985","175,933","80,677","9,732","372","2,393,626","2,393,626","171,117","220,036","314,020","286,886","375,350","419,481","339,189","176,352","81,008","9,813","374"
"인천광역시  (2800000000)","2,936,461","2,936,461","224,970","272,731","397,817","402,590","481,697","510,040","377,343","177,632","78,689","12,430","522","2,936,214","2,936,214","223,789","272,335","397,230","402,023","481,422","509,335","380,258","177,642","79,183","12,477","520","2,936,382","2,936,382","222,752","272,047","396,381","401,434","480,455","509,592","383,139","177,840","79,701","12,508","533","2,936,367","2,936,367","221,908","271,701","395,569","400,817","480,627","508,561","386,075","177,988","80,076","12,507","538","2,937,440","2,937,440","221,097","271,547","394,550","400,637","480,528","508,488","388,725","178,261","80,508","12,554","545","2,938,429","2,938,429","220,236","271,571","393,256","400,549","480,219","508,757","391,192","178,487","80,986","12,627","549"
"광주광역시  (2900000000)","1,445,473","1,445,473","117,808","155,277","208,324","184,137","239,690","233,891","165,964","93,656","40,468","5,966","292","1,444,787","1,444,787","117,272","154,930","208,208","183,705","239,431","233,781","166,786","93,666","40,716","6,001","291","1,443,154","1,443,154","116,808","154,488","208,001","183,175","238,125","234,190","167,438","93,732","40,969","5,985","243","1,442,647","1,442,647","116,423","154,106","207,952","182,779","237,840","233,886","168,355","93,901","41,202","5,968","235","1,442,482","1,442,482","116,003","153,869","207,814","182,548","237,460","233,995","169,107","94,071","41,385","5,997","233","1,441,970","1,441,970","115,509","153,624","207,467","182,218","236,974","234,286","169,907","94,129","41,623","5,995","238"
"대전광역시  (3000000000)","1,458,463","1,458,463","112,297","145,010","211,498","192,338","235,062","240,184","183,343","91,414","41,193","5,920","204","1,457,619","1,457,619","111,757","144,580","211,361","192,055","234,618","239,844","184,422","91,427","41,422","5,932","201","1,457,161","1,457,161","111,167","144,225","211,313","191,713","233,876","239,909","185,594","91,503","41,696","5,963","202","1,456,107","1,456,107","110,671","143,914","210,976","191,188","233,637","239,229","186,847","91,567","41,935","5,941","202","1,455,300","1,455,300","110,138","143,598","210,655","190,813","233,122","239,271","187,703","91,741","42,113","5,937","209","1,454,679","1,454,679","109,542","143,384","210,407","190,417","232,653","239,536","188,339","91,868","42,321","6,000","212"
"울산광역시  (3100000000)","1,129,254","1,129,254","96,422","111,038","142,413","149,430","186,357","207,808","148,776","60,792","23,060","3,070","88","1,128,163","1,128,163","95,855","110,894","142,012","148,949","186,142","207,341","149,602","61,003","23,183","3,096","86","1,127,175","1,127,175","95,327","110,728","141,607","148,396","185,524","207,212","150,619","61,261","23,300","3,116","85","1,126,369","1,126,369","94,865","110,623","141,167","147,880","185,339","206,852","151,599","61,411","23,433","3,118","82","1,125,727","1,125,727","94,428","110,546","140,710","147,449","184,951","206,594","152,653","61,642","23,542","3,129","83","1,124,459","1,124,459","93,908","110,407","139,883","146,836","184,554","206,621","153,461","61,923","23,627","3,154","85"
"세종특별자치시  (3600000000)","360,462","360,462","47,300","43,522","37,866","61,515","70,075","45,953","31,270","14,451","7,245","1,228","37","361,396","361,396","47,239","43,710","38,010","61,490","70,245","46,140","31,569","14,422","7,284","1,251","36","362,036","362,036","47,074","43,846","38,094","61,318","70,319","46,469","31,833","14,457","7,321","1,268","37","362,995","362,995","46,977","44,072","38,205","61,194","70,646","46,583","32,165","14,506","7,331","1,278","38","364,364","364,364","46,995","44,340","38,265","61,176","71,019","46,878","32,468","14,554","7,365","1,268","36","365,309","365,309","46,951","44,563","38,185","61,164","71,243","47,168","32,723","14,593","7,423","1,259","37"
"경기도  (4100000000)","13,465,837","13,465,837","1,134,030","1,325,112","1,811,928","1,902,623","2,298,082","2,241,613","1,574,976","767,454","355,003","52,598","2,418","13,479,798","13,479,798","1,130,520","1,325,369","1,812,656","1,901,856","2,298,715","2,242,984","1,587,742","767,606","357,086","52,864","2,400","13,488,910","13,488,910","1,126,119","1,325,034","1,812,032","1,900,224","2,295,083","2,247,171","1,600,436","768,097","359,388","53,011","2,315","13,500,688","13,500,688","1,122,836","1,325,609","1,810,989","1,899,205","2,296,204","2,246,038","1,614,361","768,438","361,517","53,180","2,311","13,512,867","13,512,867","1,119,413","1,326,320","1,809,310","1,898,501","2,295,435","2,249,247","1,625,682","769,763","363,493","53,391","2,312","13,530,519","13,530,519","1,115,729","1,327,046","1,809,234","1,898,766","2,295,088","2,254,613","1,637,036","771,128","365,787","53,757","2,335"
