"행정구역","2022년03월_계_총인구수","2022년03월_계_연령구간인구수","2022년03월_계_0~9세","2022년03월_계_10~19세","2022년03월_계_20~29세","2022년03월_계_30~39세","2022년03월_계_40~49세","2022년03월_계_50~59세","2022년03월_계_60~69세","2022년03월_계_70~79세","2022년03월_계_80~89세","2022년03월_계_90~99세","2022년03월_계_100세 이상","2022년04월_계_총인구수","2022년04월_계_연령구간인구수","2022년04월_계_0~9세","2022년04월_계_10~19세","2022년04월_계_20~29세","2022년04월_계_30~39세","2022년04월_계_40~49세","2022년04월_계_50~59세","2022년04월_계_60~69세","2022년04월_계_70~79세","2022년04월_계_80~89세","2022년04월_계_90~99세","2022년04월_계_100세 이상","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0~9세","2022년05월_계_10~19세","2022년05월_계_20~29세","2022년05월_계_30~39세","2022년05월_계_40~49세","2022년05월_계_50~59세","2022년05월_계_60~69세","2022년05월_계_70~79세","2022년05월_계_80~89세","2022년05월_계_90~99세","2022년05월_계_100세 이상","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년07월_계_총인구수","2022년07월_계_연령구간인구수","2022년07월_계_0~9세","2022년07월_계_10~19세","2022년07월_계_20~29세","2022년07월_계_30~39세","2022년07월_계_40~49세","2022년07월_계_50~59세","2022년07월_계_60~69세","2022년07월_계_70~79세","2022년07월_계_80~89세","2022년07월_계_90~99세","2022년07월_계_100세 이상","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상"
"전국  (0000000000)","51,610,695","51,610,695","3,697,734","4,699,914","6,594,325","6,673,424","8,157,546","8,638,696","7,237,134","3,749,844","1,881,691","272,005","8,382","51,592,660","51,592,660","3,679,892","4,697,255","6,579,507","6,666,711","8,153,849","8,647,758","7,243,664","3,755,435","1,888,961","271,335","8,293","51,583,722","51,583,722","3,662,692","4,695,186","6,564,754","6,660,669","8,142,338","8,650,247","7,245,254","3,783,011","1,898,941","272,220","8,410","51,578,178","51,578,178","3,644,574","4,696,377","6,547,881","6,653,299","8,141,674","8,649,731","7,260,782","3,795,157","1,907,906","272,358","8,439","51,574,446","51,574,446","3,624,681","4,696,767","6,531,636","6,647,003","8,134,712","8,651,892","7,279,621","3,807,864","1,918,134","273,603","8,533","51,558,441","51,558,441","3,606,212","4,698,846","6,513,110","6,640,555","8,122,023","8,645,832","7,303,567","3,815,045","1,929,992","274,790","8,469"
"서울특별시  (1100000000)","9,506,778","9,506,778","573,171","756,603","1,417,972","1,432,792","1,476,373","1,506,625","1,292,489","702,235","304,225","42,582","1,711","9,500,480","9,500,480","570,459","755,004","1,415,503","1,432,168","1,474,827","1,507,408","1,291,867","703,130","305,966","42,439","1,709","9,496,887","9,496,887","567,846","753,608","1,414,109","1,431,377","1,471,932","1,507,508","1,290,016","708,167","308,073","42,528","1,723","9,494,807","9,494,807","564,739","752,985","1,412,722","1,430,728","1,470,923","1,507,380","1,290,741","710,430","309,902","42,531","1,726","9,493,211","9,493,211","561,651","752,130","1,411,442","1,430,515","1,468,788","1,507,446","1,291,759","712,955","311,999","42,783","1,743","9,488,454","9,488,454","558,318","752,330","1,411,136","1,429,322","1,465,352","1,505,522","1,293,459","714,152","314,262","42,895","1,706"
"부산광역시  (2600000000)","3,343,504","3,343,504","216,248","265,788","410,214","402,162","501,350","552,022","551,056","301,389","126,986","15,870","419","3,340,214","3,340,214","215,153","265,497","408,673","401,742","500,825","552,008","550,633","301,763","127,647","15,849","424","3,338,167","3,338,167","214,227","265,390","407,345","401,267","499,981","551,219","550,216","303,785","128,358","15,945","434","3,336,737","3,336,737","213,182","265,383","406,111","400,701","499,882","550,290","551,115","304,589","129,096","15,953","435","3,334,595","3,334,595","211,960","265,244","404,464","400,134","499,292","549,731","551,884","305,525","129,948","15,979","434","3,331,444","3,331,444","210,796","265,365","402,848","399,342","498,370","548,523","552,651","306,257","130,866","15,991","435"
"대구광역시  (2700000000)","2,380,494","2,380,494","165,124","218,018","305,982","282,579","370,240","418,644","344,215","180,067","84,858","10,498","269","2,378,573","2,378,573","164,310","217,935","305,021","282,403","369,656","418,743","344,346","180,239","85,195","10,463","262","2,376,676","2,376,676","163,585","217,674","303,920","282,025","368,705","418,324","344,610","181,408","85,638","10,519","268","2,375,306","2,375,306","162,690","217,669","302,746","281,728","368,477","417,765","345,400","182,009","85,999","10,557","266","2,374,120","2,374,120","161,775","217,375","301,782","281,414","368,010","417,484","346,375","182,613","86,396","10,632","264","2,371,936","2,371,936","160,903","217,311","300,291","281,182","367,091","416,967","347,256","182,977","86,998","10,699","261"
"인천광역시  (2800000000)","2,952,699","2,952,699","214,628","270,827","387,276","401,411","481,705","510,727","405,444","181,932","85,018","13,292","439","2,953,260","2,953,260","213,853","270,869","386,184","401,509","481,836","511,252","406,279","182,505","85,361","13,183","429","2,955,167","2,955,167","213,152","270,717","385,619","401,964","481,428","511,681","406,819","184,293","85,824","13,244","426","2,957,066","2,957,066","212,441","270,763","384,680","402,182","481,832","511,803","408,132","185,178","86,347","13,275","433","2,960,580","2,960,580","211,842","270,973","383,741","402,942","482,412","512,005","409,817","186,215","86,823","13,370","440","2,963,117","2,963,117","211,468","271,377","382,191","403,813","482,429","511,802","411,942","186,759","87,415","13,488","433"
"광주광역시  (2900000000)","1,438,463","1,438,463","111,985","151,441","204,317","179,557","236,118","236,826","172,992","95,107","43,765","6,168","187","1,436,916","1,436,916","111,370","151,272","203,653","179,137","236,055","236,971","173,183","94,924","44,017","6,154","180","1,436,012","1,436,012","110,875","151,063","203,113","178,812","235,729","237,165","173,069","95,464","44,386","6,152","184","1,435,378","1,435,378","110,321","150,921","202,400","178,639","235,644","237,347","173,402","95,616","44,754","6,149","185","1,434,703","1,434,703","109,608","150,856","201,819","178,529","235,238","237,542","173,953","95,736","45,058","6,174","190","1,434,397","1,434,397","109,095","150,847","201,275","178,362","234,791","237,603","174,726","95,811","45,483","6,214","190"
"대전광역시  (3000000000)","1,450,057","1,450,057","106,190","141,226","207,580","188,531","230,213","239,512","192,657","93,219","44,399","6,353","177","1,449,360","1,449,360","105,714","140,935","207,253","188,455","229,928","239,743","192,839","93,333","44,658","6,323","179","1,448,933","1,448,933","105,212","140,734","207,048","188,394","229,486","239,729","192,967","93,935","44,914","6,337","177","1,448,401","1,448,401","104,742","140,506","206,542","188,196","229,351","239,725","193,404","94,291","45,113","6,353","178","1,448,182","1,448,182","104,279","140,345","206,213","188,095","229,074","239,834","193,847","94,538","45,394","6,385","178","1,448,240","1,448,240","104,028","140,287","206,113","188,112","228,590","239,713","194,368","94,749","45,670","6,431","179"
"울산광역시  (3100000000)","1,118,010","1,118,010","89,972","109,368","135,457","142,946","183,363","206,646","157,852","64,171","24,822","3,343","70","1,117,204","1,117,204","89,425","109,457","134,971","142,549","183,381","206,563","158,060","64,484","24,914","3,336","64","1,116,482","1,116,482","88,907","109,530","134,433","142,245","183,080","206,317","158,433","65,071","25,064","3,337","65","1,115,609","1,115,609","88,443","109,440","133,662","141,992","182,961","206,111","158,984","65,394","25,225","3,333","64","1,114,753","1,114,753","87,935","109,438","132,982","141,620","182,689","206,005","159,562","65,710","25,412","3,337","63","1,113,458","1,113,458","87,331","109,477","131,964","141,292","182,432","205,705","160,222","66,016","25,621","3,333","65"
"세종특별자치시  (3600000000)","377,296","377,296","47,145","46,794","38,927","61,594","74,457","49,979","34,224","15,029","7,770","1,347","30","378,196","378,196","47,021","46,963","39,015","61,611","74,700","50,270","34,347","15,128","7,778","1,331","32","379,340","379,340","46,966","47,215","39,042","61,610","75,024","50,503","34,499","15,279","7,817","1,355","30","380,215","380,215","46,802","47,515","38,987","61,529","75,391","50,723","34,672","15,343","7,873","1,348","32","380,889","380,889","46,705","47,700","38,928","61,430","75,615","50,972","34,807","15,418","7,929","1,354","31","381,439","381,439","46,562","47,933","38,903","61,282","75,807","51,132","34,952","15,519","7,962","1,355","32"
"경기도  (4100000000)","13,575,936","13,575,936","1,084,104","1,319,644","1,781,745","1,889,107","2,296,445","2,282,245","1,696,312","783,195","384,494","56,776","1,869","13,577,808","13,577,808","1,079,575","1,319,939","1,778,450","1,888,181","2,296,320","2,286,203","1,699,088","785,597","385,907","56,711","1,837","13,581,496","13,581,496","1,074,872","1,320,974","1,774,747","1,887,128","2,294,308","2,289,392","1,699,941","793,215","388,164","56,898","1,857","13,585,967","13,585,967","1,069,995","1,323,022","1,770,718","1,885,526","2,294,907","2,291,650","1,704,259","796,970","390,075","56,976","1,869","13,589,362","13,589,362","1,064,380","1,325,056","1,766,235","1,883,688","2,293,537","2,294,241","1,709,964","800,841","392,251","57,269","1,900","13,590,056","13,590,056","1,059,307","1,326,777","1,760,767","1,882,697","2,290,870","2,294,565","1,717,541","803,117","395,080","57,446","1,889"
