"행정구역","2020년09월_계_총인구수","2020년09월_계_연령구간인구수","2020년09월_계_0~9세","2020년09월_계_10~19세","2020년09월_계_20~29세","2020년09월_계_30~39세","2020년09월_계_40~49세","2020년09월_계_50~59세","2020년09월_계_60~69세","2020년09월_계_70~79세","2020년09월_계_80~89세","2020년09월_계_90~99세","2020년09월_계_100세 이상","2020년10월_계_총인구수","2020년10월_계_연령구간인구수","2020년10월_계_0~9세","2020년10월_계_10~19세","2020년10월_계_20~29세","2020년10월_계_30~39세","2020년10월_계_40~49세","2020년10월_계_50~59세","2020년10월_계_60~69세","2020년10월_계_70~79세","2020년10월_계_80~89세","2020년10월_계_90~99세","2020년10월_계_100세 이상","2020년11월_계_총인구수","2020년11월_계_연령구간인구수","2020년11월_계_0~9세","2020년11월_계_10~19세","2020년11월_계_20~29세","2020년11월_계_30~39세","2020년11월_계_40~49세","2020년11월_계_50~59세","2020년11월_계_60~69세","2020년11월_계_70~79세","2020년11월_계_80~89세","2020년11월_계_90~99세","2020년11월_계_100세 이상","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상","2021년01월_계_총인구수","2021년01월_계_연령구간인구수","2021년01월_계_0~9세","2021년01월_계_10~19세","2021년01월_계_20~29세","2021년01월_계_30~39세","2021년01월_계_40~49세","2021년01월_계_50~59세","2021년01월_계_60~69세","2021년01월_계_70~79세","2021년01월_계_80~89세","2021년01월_계_90~99세","2021년01월_계_100세 이상","2021년02월_계_총인구수","2021년02월_계_연령구간인구수","2021년02월_계_0~9세","2021년02월_계_10~19세","2021년02월_계_20~29세","2021년02월_계_30~39세","2021년02월_계_40~49세","2021년02월_계_50~59세","2021년02월_계_60~69세","2021년02월_계_70~79세","2021년02월_계_80~89세","2021년02월_계_90~99세","2021년02월_계_100세 이상"
"전국  (0000000000)","51,841,786","51,841,786","4,027,765","4,828,702","6,801,056","6,922,566","8,321,409","8,652,305","6,630,461","3,680,759","1,706,024","249,168","21,571","51,838,016","51,838,016","4,005,030","4,818,481","6,802,784","6,900,752","8,312,221","8,655,292","6,669,780","3,687,451","1,714,191","250,335","21,699","51,834,302","51,834,302","3,984,472","4,807,963","6,804,936","6,884,029","8,305,172","8,653,322","6,707,084","3,693,926","1,720,296","251,328","21,774","51,829,023","51,829,023","3,970,070","4,793,336","6,806,153","6,873,117","8,294,787","8,645,014","6,744,506","3,698,246","1,729,422","252,460","21,912","51,825,932","51,825,932","3,944,244","4,784,388","6,792,483","6,856,414","8,285,935","8,642,700","6,794,549","3,707,683","1,740,386","255,030","22,120","51,824,142","51,824,142","3,927,428","4,772,917","6,771,959","6,834,586","8,287,143","8,644,918","6,840,597","3,710,261","1,754,576","257,462","22,295"
"서울특별시  (1100000000)","9,699,232","9,699,232","635,833","791,463","1,464,445","1,486,072","1,538,386","1,528,701","1,230,721","701,306","273,467","42,160","6,678","9,689,159","9,689,159","631,458","788,199","1,462,526","1,482,049","1,534,932","1,528,085","1,235,472","702,248","275,146","42,352","6,692","9,679,771","9,679,771","627,357","785,233","1,461,133","1,478,727","1,531,956","1,526,471","1,239,857","703,243","276,533","42,535","6,726","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","9,657,969","9,657,969","618,497","778,910","1,455,044","1,471,606","1,524,671","1,522,983","1,250,098","706,115","280,163","43,029","6,853","9,648,606","9,648,606","614,701","776,296","1,449,950","1,466,661","1,523,103","1,522,829","1,255,862","706,474","282,532","43,325","6,873"
"부산광역시  (2600000000)","3,399,749","3,399,749","235,871","274,287","432,803","424,118","512,964","572,468","525,091","291,859","113,509","14,908","1,871","3,397,598","3,397,598","234,617","273,478","432,419","422,148","512,482","571,573","527,531","292,328","114,187","14,959","1,876","3,395,514","3,395,514","233,339","272,860","431,909","420,436","512,124","570,554","529,755","292,861","114,826","14,969","1,881","3,391,946","3,391,946","232,356","272,014","430,987","419,014","511,148","568,913","531,620","293,299","115,680","15,028","1,887","3,389,388","3,389,388","230,816","271,560","429,313","417,816","510,191","567,681","534,388","293,881","116,604","15,237","1,901","3,387,761","3,387,761","229,989","270,716","428,013","416,025","510,485","566,594","536,607","294,327","117,738","15,359","1,908"
"대구광역시  (2700000000)","2,426,849","2,426,849","181,188","228,270","323,230","298,224","386,278","427,217","321,394","174,520","76,577","9,240","711","2,424,171","2,424,171","180,003","227,586","322,910","296,728","385,501","426,784","322,968","174,764","76,914","9,289","724","2,421,859","2,421,859","178,930","226,927","322,503","295,408","384,997","426,294","324,511","175,011","77,193","9,355","730","2,418,346","2,418,346","178,226","225,898","321,534","294,310","383,839","425,479","325,957","175,276","77,665","9,429","733","2,415,813","2,415,813","176,889","225,070","320,703","293,117","382,725","424,889","328,155","175,695","78,265","9,561","744","2,413,191","2,413,191","175,992","224,223","319,256","291,854","381,902","424,457","330,162","175,891","79,011","9,696","747"
"인천광역시  (2800000000)","2,942,553","2,942,553","232,208","275,316","401,966","408,436","485,291","512,938","360,499","176,377","76,383","12,195","944","2,942,233","2,942,233","230,733","275,120","401,806","407,042","484,692","513,053","362,963","176,800","76,819","12,256","949","2,942,307","2,942,307","229,469","274,765","401,509","406,373","484,427","512,755","365,387","177,282","77,078","12,301","961","2,942,828","2,942,828","228,634","274,162","401,546","406,146","483,977","512,167","367,879","177,503","77,504","12,341","969","2,942,452","2,942,452","227,148","273,616","400,479","405,098","483,494","511,934","371,191","178,045","78,046","12,423","978","2,941,705","2,941,705","226,037","273,059","398,734","403,643","483,581","511,793","374,458","178,233","78,618","12,558","991"
"광주광역시  (2900000000)","1,453,952","1,453,952","121,596","158,690","209,652","187,856","242,699","233,799","161,513","92,665","39,287","5,773","422","1,452,994","1,452,994","120,817","158,158","209,839","187,088","242,147","233,829","162,498","92,935","39,465","5,797","421","1,451,993","1,451,993","120,143","157,750","209,837","186,451","241,635","233,918","163,259","93,224","39,530","5,826","420","1,450,062","1,450,062","119,692","157,144","209,375","185,867","240,867","233,822","163,784","93,541","39,671","5,875","424","1,449,115","1,449,115","118,800","156,572","209,152","185,375","240,490","234,038","164,625","93,816","39,892","5,930","425","1,447,953","1,447,953","118,272","155,985","208,358","184,837","240,549","234,091","165,368","93,874","40,228","5,961","430"
"대전광역시  (3000000000)","1,469,099","1,469,099","116,775","148,077","212,956","196,294","239,098","242,735","176,174","90,737","40,070","5,819","364","1,467,556","1,467,556","116,012","147,489","212,830","195,531","238,518","242,641","177,135","90,995","40,209","5,834","362","1,465,893","1,465,893","115,090","147,075","212,799","194,743","237,874","242,533","178,117","91,142","40,310","5,846","364","1,463,882","1,463,882","114,529","146,436","212,488","194,088","237,216","241,921","179,153","91,320","40,519","5,841","371","1,463,291","1,463,291","113,762","145,937","212,178","193,830","236,679","241,468","180,804","91,576","40,750","5,932","375","1,462,064","1,462,064","113,038","145,510","211,623","193,082","236,454","241,208","182,044","91,636","41,101","5,988","380"
"울산광역시  (3100000000)","1,139,368","1,139,368","100,233","112,963","145,758","154,000","188,666","210,198","142,582","59,335","22,399","3,064","170","1,138,581","1,138,581","99,560","112,789","145,618","153,160","188,439","210,132","143,512","59,609","22,514","3,077","171","1,137,345","1,137,345","98,943","112,596","145,257","152,323","188,183","209,890","144,424","59,874","22,602","3,081","172","1,136,017","1,136,017","98,506","112,420","144,569","151,705","187,808","209,521","145,347","60,168","22,712","3,086","175","1,135,370","1,135,370","97,748","112,239","144,200","151,063","187,557","209,208","146,754","60,475","22,857","3,093","176","1,132,953","1,132,953","97,069","111,590","143,223","150,171","187,255","208,784","147,840","60,692","23,025","3,124","180"
"세종특별자치시  (3600000000)","348,014","348,014","46,796","41,550","36,347","60,703","67,138","44,105","29,074","14,087","6,987","1,172","55","351,007","351,007","47,042","41,968","36,742","60,994","67,761","44,596","29,409","14,219","7,045","1,177","54","353,430","353,430","47,222","42,306","36,994","61,240","68,318","44,970","29,785","14,286","7,080","1,177","52","355,831","355,831","47,283","42,677","37,453","61,492","68,831","45,205","30,139","14,392","7,109","1,200","50","357,871","357,871","47,226","43,097","37,735","61,528","69,371","45,466","30,553","14,468","7,164","1,213","50","359,569","359,569","47,289","43,332","37,759","61,557","69,982","45,760","30,908","14,469","7,227","1,236","50"
"경기도  (4100000000)","13,388,485","13,388,485","1,158,060","1,337,103","1,798,600","1,911,099","2,298,109","2,227,858","1,498,842","760,582","342,460","51,519","4,253","13,400,615","13,400,615","1,152,827","1,335,101","1,800,950","1,908,030","2,298,367","2,231,904","1,510,133","762,765","344,435","51,806","4,297","13,413,459","13,413,459","1,148,218","1,332,593","1,804,745","1,906,454","2,298,870","2,234,028","1,521,458","764,570","346,189","52,032","4,302","13,427,014","13,427,014","1,145,984","1,328,214","1,807,848","1,907,459","2,299,423","2,234,920","1,532,434","765,815","348,213","52,389","4,315","13,449,499","13,449,499","1,140,854","1,327,712","1,809,285","1,906,582","2,300,938","2,239,200","1,548,037","768,814","350,794","52,908","4,375","13,471,758","13,471,758","1,137,876","1,326,417","1,809,124","1,904,371","2,304,741","2,244,792","1,562,484","770,026","354,104","53,410","4,413"
