"행정구역","2023년03월_계_총인구수","2023년03월_계_연령구간인구수","2023년03월_계_0~9세","2023년03월_계_10~19세","2023년03월_계_20~29세","2023년03월_계_30~39세","2023년03월_계_40~49세","2023년03월_계_50~59세","2023년03월_계_60~69세","2023년03월_계_70~79세","2023년03월_계_80~89세","2023년03월_계_90~99세","2023년03월_계_100세 이상","2023년04월_계_총인구수","2023년04월_계_연령구간인구수","2023년04월_계_0~9세","2023년04월_계_10~19세","2023년04월_계_20~29세","2023년04월_계_30~39세","2023년04월_계_40~49세","2023년04월_계_50~59세","2023년04월_계_60~69세","2023년04월_계_70~79세","2023년04월_계_80~89세","2023년04월_계_90~99세","2023년04월_계_100세 이상","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상","2023년07월_계_총인구수","2023년07월_계_연령구간인구수","2023년07월_계_0~9세","2023년07월_계_10~19세","2023년07월_계_20~29세","2023년07월_계_30~39세","2023년07월_계_40~49세","2023년07월_계_50~59세","2023년07월_계_60~69세","2023년07월_계_70~79세","2023년07월_계_80~89세","2023년07월_계_90~99세","2023년07월_계_100세 이상","2023년08월_계_총인구수","2023년08월_계_연령구간인구수","2023년08월_계_0~9세","2023년08월_계_10~19세","2023년08월_계_20~29세","2023년08월_계_30~39세","2023년08월_계_40~49세","2023년08월_계_50~59세","2023년08월_계_60~69세","2023년08월_계_70~79세","2023년08월_계_80~89세","2023년08월_계_90~99세","2023년08월_계_100세 이상"
"전국  (0000000000)","51,414,281","51,414,281","3,478,290","4,690,388","6,349,354","6,585,469","8,047,460","8,620,204","7,485,540","3,855,550","2,007,868","285,797","8,361","51,408,155","51,408,155","3,460,142","4,684,275","6,333,731","6,589,037","8,027,947","8,609,976","7,525,051","3,865,977","2,015,305","288,168","8,546","51,400,521","51,400,521","3,445,285","4,679,181","6,318,641","6,588,734","8,007,347","8,622,447","7,537,569","3,883,027","2,019,178","290,354","8,758","51,392,745","51,392,745","3,431,910","4,676,000","6,301,901","6,588,552","7,998,075","8,627,184","7,553,882","3,894,490","2,021,856","289,859","9,036","51,387,133","51,387,133","3,415,119","4,674,885","6,284,235","6,588,036","7,988,791","8,631,299","7,571,631","3,907,575","2,025,747","290,813","9,002","51,377,213","51,377,213","3,398,415","4,673,674","6,265,976","6,587,136","7,977,613","8,634,255","7,589,676","3,918,796","2,030,118","292,625","8,929"
"서울특별시  (1100000000)","9,426,404","9,426,404","536,130","748,694","1,383,330","1,423,395","1,443,470","1,492,333","1,306,131","719,226","329,015","43,291","1,389","9,422,710","9,422,710","533,058","746,534","1,380,665","1,425,142","1,439,498","1,490,099","1,311,159","720,855","330,629","43,651","1,420","9,418,885","9,418,885","530,837","744,507","1,379,056","1,425,785","1,435,754","1,490,647","1,311,328","723,982","331,600","43,937","1,452","9,414,093","9,414,093","528,601","742,606","1,376,043","1,426,858","1,433,451","1,490,305","1,312,500","725,930","332,435","43,869","1,495","9,411,260","9,411,260","526,144","741,199","1,373,020","1,427,554","1,431,557","1,490,423","1,313,880","728,424","333,491","44,070","1,498","9,409,466","9,409,466","523,404","740,523","1,370,980","1,428,070","1,429,564","1,490,045","1,315,579","730,478","334,941","44,365","1,517"
"부산광역시  (2600000000)","3,313,539","3,313,539","203,475","265,848","390,717","394,135","492,944","541,478","558,855","311,360","137,719","16,589","419","3,311,402","3,311,402","202,417","265,215","389,186","394,343","491,842","540,194","560,239","312,297","138,519","16,714","436","3,309,261","3,309,261","201,568","264,913","387,931","394,009","490,518","540,260","560,283","313,589","138,904","16,836","450","3,306,993","3,306,993","200,627","264,771","386,558","393,792","489,807","539,964","560,595","314,419","139,225","16,774","461","3,305,052","3,305,052","199,654","264,559","385,177","393,281","489,183","539,658","561,300","315,330","139,650","16,806","454","3,302,740","3,302,740","198,657","264,486","383,672","392,981","488,432","539,375","561,694","316,061","140,082","16,854","446"
"대구광역시  (2700000000)","2,358,988","2,358,988","155,667","216,158","289,735","278,350","361,617","414,667","353,662","186,182","91,391","11,310","249","2,357,881","2,357,881","154,772","215,628","288,962","278,574","360,620","413,876","355,062","186,823","91,892","11,426","246","2,357,032","2,357,032","154,081","215,304","288,001","278,594","359,594","414,037","355,706","187,721","92,212","11,533","249","2,356,416","2,356,416","153,568","214,970","287,212","278,659","358,951","414,173","356,292","188,345","92,457","11,526","263","2,379,086","2,379,086","153,424","215,696","287,579","279,895","360,315","418,247","363,150","192,899","95,664","11,954","263","2,378,464","2,378,464","152,853","215,510","286,581","280,170","359,616","418,224","363,958","193,370","95,886","12,036","260"
"인천광역시  (2800000000)","2,974,481","2,974,481","207,217","272,705","372,415","406,044","482,086","510,149","427,411","190,315","91,557","14,111","471","2,976,338","2,976,338","206,458","272,529","371,263","406,924","481,351","509,573","430,502","191,090","91,931","14,228","489","2,978,089","2,978,089","205,872","272,133","370,392","407,544","480,660","510,458","431,846","192,121","92,218","14,336","509","2,978,749","2,978,749","205,182","271,993","369,108","407,857","480,374","510,791","433,280","192,885","92,432","14,328","519","2,981,553","2,981,553","204,597","272,081","368,090","408,639","480,586","511,094","434,957","193,770","92,799","14,419","521","2,985,152","2,985,152","204,094","272,235","367,246","409,654","480,869","511,512","436,589","194,751","93,178","14,509","515"
"광주광역시  (2900000000)","1,427,508","1,427,508","105,086","149,692","196,041","175,588","232,331","238,750","179,548","96,440","47,334","6,511","187","1,426,625","1,426,625","104,384","149,369","195,616","175,466","231,717","238,401","180,963","96,457","47,506","6,551","195","1,425,739","1,425,739","103,787","149,104","195,124","175,307","230,950","238,796","181,382","96,843","47,643","6,605","198","1,424,818","1,424,818","103,295","148,859","194,567","175,130","230,451","238,927","181,901","97,145","47,742","6,577","224","1,424,305","1,424,305","102,694","148,607","194,085","175,029","230,115","239,077","182,493","97,504","47,899","6,583","219","1,423,810","1,423,810","102,152","148,476","193,607","175,013","229,740","239,193","183,021","97,778","48,006","6,607","217"
"대전광역시  (3000000000)","1,445,519","1,445,519","100,752","139,682","202,814","187,389","225,442","239,648","199,226","96,058","47,610","6,705","193","1,445,214","1,445,214","100,312","139,408","202,439","187,591","224,690","239,649","200,056","96,329","47,775","6,773","192","1,445,221","1,445,221","99,954","139,211","202,250","187,765","223,932","240,128","200,303","96,769","47,890","6,821","198","1,445,126","1,445,126","99,672","139,006","201,913","187,876","223,587","240,389","200,649","97,116","47,887","6,822","209","1,444,898","1,444,898","99,181","138,836","201,460","187,985","223,181","240,762","200,916","97,507","48,005","6,852","213","1,444,837","1,444,837","98,660","138,792","201,280","187,921","222,760","240,943","201,321","97,866","48,175","6,908","211"
"울산광역시  (3100000000)","1,107,746","1,107,746","83,424","109,645","126,700","138,623","180,809","204,122","165,508","68,142","27,142","3,562","69","1,107,134","1,107,134","82,908","109,560","126,181","138,552","180,417","203,691","166,392","68,470","27,316","3,577","70","1,106,446","1,106,446","82,436","109,425","125,555","138,405","179,782","204,041","166,748","68,963","27,412","3,606","73","1,106,015","1,106,015","82,111","109,358","125,040","138,338","179,570","203,985","167,180","69,296","27,480","3,581","76","1,105,326","1,105,326","81,513","109,461","124,481","138,111","179,361","203,961","167,609","69,636","27,529","3,588","76","1,104,448","1,104,448","80,992","109,385","123,888","137,818","179,168","203,763","168,140","69,938","27,674","3,605","77"
"세종특별자치시  (3600000000)","385,609","385,609","45,662","49,474","38,149","60,745","77,234","52,370","36,415","15,871","8,199","1,449","41","385,825","385,825","45,440","49,607","38,107","60,678","77,194","52,539","36,633","15,938","8,201","1,445","43","386,050","386,050","45,260","49,725","38,054","60,497","77,229","52,838","36,706","16,046","8,212","1,438","45","386,126","386,126","45,076","49,871","37,933","60,331","77,332","52,961","36,834","16,090","8,217","1,432","49","386,192","386,192","44,799","50,085","37,875","60,177","77,356","53,162","36,903","16,169","8,177","1,441","48","385,953","385,953","44,517","50,214","37,834","59,894","77,329","53,308","36,956","16,235","8,164","1,455","47"
"경기도  (4100000000)","13,603,546","13,603,546","1,027,575","1,325,240","1,720,603","1,876,012","2,282,017","2,302,098","1,778,736","817,918","411,754","59,721","1,872","13,607,919","13,607,919","1,023,072","1,324,705","1,716,816","1,877,554","2,277,910","2,300,892","1,790,601","820,761","413,508","60,187","1,913","13,612,597","13,612,597","1,019,287","1,324,654","1,712,711","1,878,273","2,273,387","2,305,957","1,795,821","825,179","414,744","60,641","1,943","13,618,969","13,618,969","1,016,203","1,325,511","1,709,008","1,878,788","2,272,231","2,308,961","1,801,521","828,496","415,608","60,681","1,961","13,623,055","13,623,055","1,011,869","1,326,853","1,704,009","1,879,114","2,270,297","2,311,572","1,807,547","832,069","416,806","60,963","1,956","13,624,964","13,624,964","1,007,256","1,327,479","1,699,010","1,879,098","2,267,822","2,313,797","1,813,864","835,228","418,038","61,435","1,937"
