"행정구역","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0~9세","2022년09월_계_10~19세","2022년09월_계_20~29세","2022년09월_계_30~39세","2022년09월_계_40~49세","2022년09월_계_50~59세","2022년09월_계_60~69세","2022년09월_계_70~79세","2022년09월_계_80~89세","2022년09월_계_90~99세","2022년09월_계_100세 이상","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~9세","2022년10월_계_10~19세","2022년10월_계_20~29세","2022년10월_계_30~39세","2022년10월_계_40~49세","2022년10월_계_50~59세","2022년10월_계_60~69세","2022년10월_계_70~79세","2022년10월_계_80~89세","2022년10월_계_90~99세","2022년10월_계_100세 이상","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_0~9세","2022년11월_계_10~19세","2022년11월_계_20~29세","2022년11월_계_30~39세","2022년11월_계_40~49세","2022년11월_계_50~59세","2022년11월_계_60~69세","2022년11월_계_70~79세","2022년11월_계_80~89세","2022년11월_계_90~99세","2022년11월_계_100세 이상","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_0~9세","2022년12월_계_10~19세","2022년12월_계_20~29세","2022년12월_계_30~39세","2022년12월_계_40~49세","2022년12월_계_50~59세","2022년12월_계_60~69세","2022년12월_계_70~79세","2022년12월_계_80~89세","2022년12월_계_90~99세","2022년12월_계_100세 이상","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_0~9세","2023년01월_계_10~19세","2023년01월_계_20~29세","2023년01월_계_30~39세","2023년01월_계_40~49세","2023년01월_계_50~59세","2023년01월_계_60~69세","2023년01월_계_70~79세","2023년01월_계_80~89세","2023년01월_계_90~99세","2023년01월_계_100세 이상","2023년02월_계_총인구수","2023년02월_계_연령구간인구수","2023년02월_계_0~9세","2023년02월_계_10~19세","2023년02월_계_20~29세","2023년02월_계_30~39세","2023년02월_계_40~49세","2023년02월_계_50~59세","2023년02월_계_60~69세","2023년02월_계_70~79세","2023년02월_계_80~89세","2023년02월_계_90~99세","2023년02월_계_100세 이상"
"전국  (0000000000)","51,466,658","51,466,658","3,587,171","4,700,253","6,487,234","6,629,383","8,099,849","8,623,902","7,309,977","3,813,420","1,934,796","272,949","7,724","51,459,626","51,459,626","3,566,622","4,703,349","6,463,741","6,625,319","8,088,855","8,614,576","7,346,707","3,814,072","1,954,228","274,412","7,745","51,450,829","51,450,829","3,548,291","4,704,693","6,441,542","6,620,713","8,083,707","8,607,789","7,379,420","3,818,887","1,962,667","275,377","7,743","51,439,038","51,439,038","3,532,642","4,703,196","6,417,181","6,615,511","8,073,117","8,612,064","7,403,539","3,825,717","1,970,593","277,745","7,733","51,430,018","51,430,018","3,510,756","4,702,482","6,393,461","6,600,252","8,065,721","8,616,924","7,434,333","3,835,199","1,983,074","279,905","7,911","51,421,479","51,421,479","3,494,655","4,697,666","6,366,296","6,581,804","8,068,794","8,622,349","7,461,127","3,840,239","1,997,296","283,090","8,163"
"서울특별시  (1100000000)","9,450,768","9,450,768","555,020","751,506","1,405,549","1,426,341","1,458,407","1,497,362","1,288,139","711,313","314,021","41,804","1,306","9,443,722","9,443,722","551,549","750,887","1,399,898","1,426,203","1,455,582","1,494,808","1,292,446","711,551","317,543","41,954","1,301","9,436,836","9,436,836","548,408","750,116","1,394,900","1,426,247","1,452,970","1,493,294","1,295,878","712,324","319,313","42,080","1,306","9,428,372","9,428,372","545,317","749,118","1,389,483","1,425,808","1,449,706","1,492,802","1,297,787","713,496","321,209","42,354","1,292","9,424,873","9,424,873","541,595","748,219","1,385,210","1,424,188","1,447,594","1,493,331","1,301,366","715,451","323,956","42,644","1,319","9,427,583","9,427,583","538,645","749,786","1,384,235","1,421,598","1,447,879","1,493,759","1,304,067","716,454","326,835","42,976","1,349"
"부산광역시  (2600000000)","3,323,826","3,323,826","209,573","265,453","400,994","398,551","496,783","546,578","551,909","306,539","131,229","15,827","390","3,322,286","3,322,286","208,396","265,675","399,066","398,074","495,981","545,322","553,735","307,007","132,738","15,898","394","3,320,276","3,320,276","207,280","266,040","397,234","397,319","495,502","544,136","555,194","307,753","133,470","15,948","400","3,317,812","3,317,812","206,377","265,934","395,398","396,427","494,742","543,722","555,859","308,718","134,148","16,081","406","3,316,107","3,316,107","205,183","266,085","393,660","395,379","494,104","542,849","557,440","309,546","135,207","16,245","409","3,315,516","3,315,516","204,412","266,098","392,524","394,039","494,163","542,420","558,375","309,922","136,722","16,434","407"
"대구광역시  (2700000000)","2,367,735","2,367,735","159,966","217,410","298,790","280,696","365,839","416,155","347,621","183,135","87,235","10,638","250","2,366,852","2,366,852","159,200","217,589","297,310","280,310","365,186","415,716","349,210","183,332","88,071","10,678","250","2,365,619","2,365,619","158,330","217,737","295,962","279,979","364,662","415,172","350,624","183,667","88,508","10,740","238","2,363,691","2,363,691","157,730","217,532","294,363","279,457","363,802","415,142","351,340","184,159","89,098","10,830","238","2,362,880","2,362,880","156,825","217,523","293,035","278,782","363,209","415,285","352,244","184,905","89,855","10,976","241","2,360,662","2,360,662","156,282","216,887","291,034","278,140","362,841","415,025","353,164","185,169","90,722","11,150","248"
"인천광역시  (2800000000)","2,960,097","2,960,097","210,724","271,637","380,672","403,597","481,636","510,296","413,007","187,035","87,677","13,404","412","2,962,388","2,962,388","209,892","272,060","379,347","404,193","481,495","509,664","415,890","187,253","88,713","13,460","421","2,964,820","2,964,820","209,299","272,498","378,008","404,815","481,748","509,413","418,264","187,587","89,209","13,563","416","2,967,314","2,967,314","208,942","272,740","376,526","405,262","481,848","509,651","420,463","188,099","89,656","13,704","423","2,969,502","2,969,502","208,182","272,958","375,003","405,039","482,131","509,939","422,953","188,726","90,335","13,794","442","2,971,788","2,971,788","207,840","272,893","373,372","404,771","482,882","510,124","425,180","189,331","90,982","13,961","452"
"광주광역시  (2900000000)","1,432,856","1,432,856","108,527","150,801","200,863","178,172","234,066","237,425","175,175","95,722","45,707","6,226","172","1,432,651","1,432,651","107,958","150,926","200,216","177,966","233,517","237,620","176,117","95,627","46,288","6,247","169","1,432,049","1,432,049","107,448","150,882","199,559","177,707","233,135","237,710","176,870","95,824","46,483","6,260","171","1,431,050","1,431,050","106,977","150,857","198,619","177,417","232,740","237,879","177,332","96,069","46,682","6,305","173","1,429,816","1,429,816","106,115","150,615","197,840","176,683","232,453","238,323","178,135","96,239","46,872","6,364","177","1,428,927","1,428,927","105,650","150,167","196,829","175,957","232,827","238,653","178,800","96,265","47,160","6,437","182"
"대전광역시  (3000000000)","1,446,602","1,446,602","103,642","140,385","205,405","187,975","227,963","239,361","194,620","94,829","45,792","6,447","183","1,446,863","1,446,863","103,194","140,328","205,141","187,977","227,543","239,152","195,691","94,864","46,296","6,496","181","1,446,749","1,446,749","102,684","140,443","204,577","187,988","227,361","238,972","196,591","94,989","46,466","6,500","178","1,446,072","1,446,072","102,233","140,288","203,887","187,991","226,654","239,260","197,255","95,129","46,641","6,553","181","1,445,806","1,445,806","101,659","140,128","203,322","187,743","226,271","239,463","198,056","95,459","46,957","6,570","178","1,445,875","1,445,875","101,247","140,007","202,876","187,214","226,352","239,683","198,700","95,640","47,303","6,665","188"
"울산광역시  (3100000000)","1,112,191","1,112,191","86,771","109,713","131,189","140,963","182,096","205,245","160,764","66,272","25,790","3,328","60","1,111,707","1,111,707","86,148","109,885","130,508","140,634","181,877","204,930","161,743","66,394","26,163","3,365","60","1,111,371","1,111,371","85,577","110,069","129,925","140,202","181,800","204,701","162,714","66,604","26,322","3,397","60","1,110,663","1,110,663","85,061","110,202","129,209","139,635","181,630","204,688","163,353","66,916","26,466","3,442","61","1,110,074","1,110,074","84,426","110,324","128,598","139,126","181,384","204,524","164,139","67,361","26,658","3,472","62","1,108,665","1,108,665","83,898","109,963","127,559","138,561","181,272","204,472","164,825","67,607","26,919","3,523","66"
"세종특별자치시  (3600000000)","381,925","381,925","46,415","48,139","38,786","61,258","75,962","51,276","35,135","15,566","7,991","1,367","30","382,258","382,258","46,188","48,422","38,537","61,203","76,132","51,336","35,366","15,591","8,070","1,381","32","382,770","382,770","46,018","48,733","38,404","61,117","76,332","51,393","35,642","15,636","8,080","1,380","35","383,591","383,591","45,951","49,002","38,379","61,083","76,504","51,667","35,788","15,705","8,079","1,398","35","384,496","384,496","45,787","49,402","38,300","60,932","76,832","51,886","36,032","15,745","8,149","1,397","34","385,285","385,285","45,784","49,513","38,170","60,792","77,206","52,173","36,235","15,789","8,157","1,428","38"
"경기도  (4100000000)","13,574,353","13,574,353","1,054,380","1,327,378","1,753,988","1,880,750","2,286,448","2,291,043","1,721,533","803,681","396,341","57,083","1,728","13,579,508","13,579,508","1,049,081","1,328,457","1,748,196","1,881,251","2,284,898","2,290,967","1,732,354","804,885","400,240","57,447","1,732","13,583,238","13,583,238","1,044,575","1,327,966","1,742,700","1,881,431","2,285,194","2,290,780","1,742,412","806,759","402,071","57,628","1,722","13,589,432","13,589,432","1,040,954","1,327,726","1,737,291","1,882,300","2,284,603","2,293,422","1,750,962","808,663","403,721","58,065","1,725","13,596,091","13,596,091","1,035,744","1,328,242","1,731,808","1,878,783","2,284,737","2,297,259","1,761,175","811,550","406,494","58,531","1,768","13,600,800","13,600,800","1,032,014","1,327,214","1,724,885","1,874,404","2,287,115","2,300,679","1,770,380","813,777","409,320","59,171","1,841"
