"행정구역","2021년09월_계_총인구수","2021년09월_계_연령구간인구수","2021년09월_계_0~9세","2021년09월_계_10~19세","2021년09월_계_20~29세","2021년09월_계_30~39세","2021년09월_계_40~49세","2021년09월_계_50~59세","2021년09월_계_60~69세","2021년09월_계_70~79세","2021년09월_계_80~89세","2021년09월_계_90~99세","2021년09월_계_100세 이상","2021년10월_계_총인구수","2021년10월_계_연령구간인구수","2021년10월_계_0~9세","2021년10월_계_10~19세","2021년10월_계_20~29세","2021년10월_계_30~39세","2021년10월_계_40~49세","2021년10월_계_50~59세","2021년10월_계_60~69세","2021년10월_계_70~79세","2021년10월_계_80~89세","2021년10월_계_90~99세","2021년10월_계_100세 이상","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상","2021년12월_계_총인구수","2021년12월_계_연령구간인구수","2021년12월_계_0~9세","2021년12월_계_10~19세","2021년12월_계_20~29세","2021년12월_계_30~39세","2021년12월_계_40~49세","2021년12월_계_50~59세","2021년12월_계_60~69세","2021년12월_계_70~79세","2021년12월_계_80~89세","2021년12월_계_90~99세","2021년12월_계_100세 이상","2022년01월_계_총인구수","2022년01월_계_연령구간인구수","2022년01월_계_0~9세","2022년01월_계_10~19세","2022년01월_계_20~29세","2022년01월_계_30~39세","2022년01월_계_40~49세","2022년01월_계_50~59세","2022년01월_계_60~69세","2022년01월_계_70~79세","2022년01월_계_80~89세","2022년01월_계_90~99세","2022년01월_계_100세 이상","2022년02월_계_총인구수","2022년02월_계_연령구간인구수","2022년02월_계_0~9세","2022년02월_계_10~19세","2022년02월_계_20~29세","2022년02월_계_30~39세","2022년02월_계_40~49세","2022년02월_계_50~59세","2022년02월_계_60~69세","2022년02월_계_70~79세","2022년02월_계_80~89세","2022년02월_계_90~99세","2022년02월_계_100세 이상"
"전국  (0000000000)","51,667,688","51,667,688","3,809,849","4,727,626","6,708,734","6,745,531","8,182,067","8,610,979","7,097,818","3,705,737","1,808,689","259,635","11,023","51,662,290","51,662,290","3,792,548","4,721,726","6,691,903","6,739,933","8,169,827","8,622,455","7,124,259","3,710,920","1,817,189","261,241","10,289","51,652,704","51,652,704","3,775,503","4,716,775","6,674,970","6,731,509","8,165,990","8,631,102","7,147,578","3,712,470","1,825,295","262,341","9,171","51,638,809","51,638,809","3,760,350","4,709,316","6,655,923","6,723,435","8,166,792","8,635,211","7,164,712","3,715,084","1,835,481","264,544","7,961","51,632,473","51,632,473","3,736,642","4,706,002","6,632,711","6,704,271","8,166,823","8,635,055","7,196,303","3,724,894","1,853,024","268,595","8,153","51,625,561","51,625,561","3,718,850","4,702,667","6,606,751","6,681,507","8,172,801","8,630,063","7,228,356","3,736,880","1,868,333","271,030","8,323"
"서울특별시  (1100000000)","9,542,256","9,542,256","593,167","761,868","1,436,423","1,444,106","1,490,032","1,506,315","1,280,475","696,015","290,067","41,236","2,552","9,532,428","9,532,428","590,061","760,182","1,430,877","1,442,893","1,486,100","1,507,444","1,283,216","696,346","291,651","41,430","2,228","9,520,880","9,520,880","586,559","758,445","1,426,394","1,440,774","1,483,164","1,507,704","1,285,127","695,892","293,290","41,521","2,010","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643","9,505,926","9,505,926","579,752","755,023","1,417,381","1,437,257","1,479,859","1,506,967","1,289,751","697,619","298,447","42,187","1,683","9,508,451","9,508,451","576,580","756,556","1,416,885","1,433,500","1,480,506","1,505,853","1,293,226","699,661","301,494","42,482","1,708"
"부산광역시  (2600000000)","3,358,763","3,358,763","222,742","267,044","420,631","408,295","503,507","555,964","546,976","296,080","121,655","15,114","755","3,356,311","3,356,311","221,729","266,634","419,064","407,480","502,715","555,902","547,730","296,893","122,286","15,197","681","3,353,627","3,353,627","220,636","266,474","417,317","406,584","502,425","555,462","548,572","297,407","122,945","15,294","511","3,350,380","3,350,380","219,611","266,105","415,549","405,300","502,391","554,768","548,878","298,128","123,791","15,457","402","3,348,874","3,348,874","218,508","266,044","413,562","404,079","502,239","553,860","550,275","299,101","125,129","15,679","398","3,347,396","3,347,396","217,588","265,987","412,039","402,632","502,454","552,477","551,598","300,226","126,147","15,834","414"
"대구광역시  (2700000000)","2,392,787","2,392,787","170,270","219,795","313,516","286,608","374,414","419,587","340,112","176,747","81,471","9,884","383","2,390,721","2,390,721","169,417","219,348","312,144","286,283","373,251","419,894","340,970","177,181","81,934","9,939","360","2,388,230","2,388,230","168,602","218,976","310,800","285,532","372,803","419,916","341,719","177,394","82,243","9,968","277","2,385,412","2,385,412","167,823","218,537","308,921","284,865","372,555","419,444","342,291","177,828","82,781","10,122","245","2,383,858","2,383,858","166,878","218,203","307,600","283,895","372,019","419,200","343,237","178,675","83,566","10,329","256","2,381,095","2,381,095","166,093","217,654","305,721","282,950","371,368","418,757","344,093","179,535","84,188","10,467","269"
"인천광역시  (2800000000)","2,941,795","2,941,795","219,612","271,502","392,901","401,098","480,375","509,323","393,500","178,622","81,545","12,758","559","2,945,009","2,945,009","219,048","271,373","392,367","401,716","480,366","510,057","395,798","178,951","81,974","12,848","511","2,946,319","2,946,319","218,194","271,348","391,498","401,742","480,658","510,589","397,525","179,068","82,331","12,928","438","2,948,375","2,948,375","217,384","271,131","391,051","402,091","481,066","510,969","399,128","179,244","82,853","13,041","417","2,949,150","2,949,150","216,101","270,999","389,666","401,271","481,412","510,714","401,653","180,022","83,710","13,175","427","2,950,978","2,950,978","215,555","270,735","387,975","400,916","482,160","510,326","404,347","180,875","84,405","13,255","429"
"광주광역시  (2900000000)","1,442,827","1,442,827","115,090","153,327","207,931","182,107","236,716","234,723","170,513","94,232","41,926","6,024","238","1,442,454","1,442,454","114,681","152,923","207,723","181,847","236,350","235,025","171,161","94,302","42,169","6,028","245","1,442,138","1,442,138","114,343","152,805","207,080","181,567","236,306","235,316","171,663","94,422","42,416","6,012","208","1,441,611","1,441,611","114,065","152,404","206,472","181,189","236,167","235,764","172,124","94,547","42,636","6,066","177","1,441,636","1,441,636","113,235","152,100","206,209","180,707","236,343","236,162","172,597","94,918","43,059","6,127","179","1,440,032","1,440,032","112,587","151,866","205,016","179,959","236,519","236,405","172,881","95,060","43,390","6,162","187"
"대전광역시  (3000000000)","1,455,058","1,455,058","108,994","143,141","211,021","190,288","232,111","239,841","188,867","91,998","42,541","6,044","212","1,454,228","1,454,228","108,388","142,897","210,578","190,062","231,511","240,082","189,446","92,247","42,726","6,093","198","1,453,675","1,453,675","107,912","142,601","210,148","189,983","231,153","240,267","190,076","92,291","42,957","6,098","189","1,452,251","1,452,251","107,548","142,175","209,397","189,669","231,018","240,017","190,514","92,390","43,199","6,155","169","1,451,272","1,451,272","107,005","141,840","208,606","189,122","230,741","239,766","191,487","92,668","43,623","6,238","176","1,450,862","1,450,862","106,653","141,530","208,066","188,583","230,847","239,393","192,322","92,944","44,038","6,309","177"
"울산광역시  (3100000000)","1,123,236","1,123,236","93,408","110,255","139,144","146,202","184,256","206,803","153,994","62,185","23,734","3,169","86","1,122,566","1,122,566","92,945","110,168","138,484","145,773","183,982","206,954","154,649","62,473","23,845","3,205","88","1,122,495","1,122,495","92,477","110,182","138,053","145,385","183,960","207,162","155,227","62,736","23,987","3,241","85","1,121,592","1,121,592","92,018","109,990","137,422","144,891","183,954","207,056","155,775","63,024","24,119","3,276","67","1,121,100","1,121,100","91,302","109,883","137,071","144,220","183,909","206,897","156,695","63,321","24,402","3,332","68","1,119,446","1,119,446","90,634","109,510","136,235","143,415","183,832","206,545","157,472","63,765","24,606","3,366","66"
"세종특별자치시  (3600000000)","366,560","366,560","46,960","44,826","38,131","61,187","71,533","47,566","32,942","14,652","7,442","1,283","38","368,276","368,276","46,988","45,193","38,180","61,258","71,910","48,087","33,152","14,694","7,488","1,287","39","369,465","369,465","46,913","45,439","38,251","61,298","72,186","48,474","33,344","14,704","7,533","1,285","38","371,895","371,895","47,063","45,794","38,510","61,719","72,764","48,876","33,522","14,775","7,557","1,288","27","374,377","374,377","47,184","46,215","38,756","61,774","73,505","49,355","33,752","14,865","7,620","1,321","30","376,399","376,399","47,287","46,592","38,800","61,681","74,241","49,680","34,089","14,951","7,714","1,334","30"
"경기도  (4100000000)","13,542,284","13,542,284","1,111,291","1,325,381","1,808,560","1,899,120","2,294,174","2,260,916","1,646,357","771,593","368,251","54,291","2,350","13,549,577","13,549,577","1,106,832","1,324,001","1,805,465","1,899,458","2,292,775","2,265,783","1,655,342","772,601","370,378","54,708","2,234","13,557,973","13,557,973","1,103,092","1,322,710","1,802,051","1,899,719","2,293,799","2,270,910","1,663,383","772,918","372,378","54,952","2,061","13,565,450","13,565,450","1,099,927","1,321,005","1,798,269","1,900,447","2,296,173","2,274,844","1,669,601","773,573","374,488","55,363","1,760","13,571,450","13,571,450","1,094,137","1,320,900","1,792,402","1,896,339","2,297,643","2,277,250","1,680,561","776,181","378,177","56,052","1,808","13,574,369","13,574,369","1,089,606","1,319,941","1,785,292","1,890,662","2,299,553","2,278,124","1,691,915","779,329","381,558","56,552","1,837"
