local_id,year,month,home,change(home),office,change(office),industry,change(industry)
11,2020,1,1172543,6.8016249647043825,2881635,6.033332241711555,142846,4.224550548680831
11,2020,2,1164350,-0.6987377008774944,2735225,-5.080796145243933,137815,-3.521974714027694
11,2020,3,1096475,-5.82943273070812,2430766,-11.131040408010309,130202,-5.524072125675724
11,2020,4,1098846,0.21623840032832486,2193736,-9.751247137733538,118383,-9.077433526366722
11,2020,5,1037109,-5.618348704004019,2154002,-1.8112480261982298,104726,-11.536284770617403
11,2020,6,1110632,7.0892259155016495,2500400,16.08160066703745,119260,13.87812004659779
11,2020,7,1190186,7.162948663463685,2755448,10.200287953927372,128390,7.65554251215831
11,2020,8,1381160,16.04572730648823,2928406,6.276946616303411,128966,0.4486330711114573
11,2020,9,1429411,3.4935126994700103,2719212,-7.143613283130823,135722,5.238590015973203
11,2020,10,1054269,-26.24451609788927,2155341,-20.736558973702675,103801,-23.519399949897586
11,2020,11,1085618,2.973529526145604,2250356,4.408351161138771,114704,10.503752372327819
11,2020,12,1162100,7.045019518836276,2604402,15.732888485199675,131463,14.610650020923421
11,2021,1,1296892,11.599001807073401,2957878,13.572251902740055,145639,10.783262210660034
11,2021,2,1239042,-4.4606644192423115,2754851,-6.863940973900884,140151,-3.7682214242064282
11,2021,3,1064710,-14.06990239233214,2365228,-14.143160555688855,120812,-13.798688557341723
11,2021,4,1088228,2.2088643856073484,2236928,-5.424424199273812,124100,2.721583948614376
11,2021,5,1037349,-4.675398905376447,2174433,-2.7937868362325475,112979,-8.961321514907333
11,2021,6,1103096,6.337982684708811,2476431,13.888586127969912,122093,8.066985900034519
11,2021,7,1360522,23.336681485564267,2908669,17.454069990239987,137360,12.50440238179093
11,2021,8,1805751,32.7248658970601,3149879,8.292796464637261,148237,7.918608037274316
11,2021,9,1306689,-27.637365284582426,2704284,-14.146416417900499,134108,-9.531358567699023
11,2021,10,1106205,-15.342901026946734,2358219,-12.796917779345659,114189,-14.852954335311837
11,2021,11,1101162,-0.45588295117089506,2317422,-1.7299919981986407,118555,3.823485624709911
11,2021,12,1146475,4.115016682377344,2684746,15.850544268588113,132477,11.743072835392855
11,2022,1,1268167,10.614448636036547,3098081,15.395683614017862,151768,14.561772987009066
11,2022,2,1249190,-1.4964117501874752,2933022,-5.327781939852444,145161,-4.353355120974118
11,2022,3,1108591,-11.255213378269119,2573923,-12.243310824126107,130487,-10.108775773107102
11,2022,4,1096677,-1.0746975214483971,2368957,-7.963175277582119,121342,-7.008360986151878
11,2022,5,1042289,-4.959345367870394,2330403,-1.6274672777935606,111589,-8.0376126979941
11,2022,6,1084938,4.091859359544234,2603546,11.72084828246445,119384,6.985455555655127
11,2022,7,1401278,29.157426507321155,3094563,18.85954770916281,136249,14.12668364269919
11,2022,8,1660450,18.49540205441033,3272563,5.752023791404473,140582,3.180206827206071
11,2022,9,1321934,-20.387003523141317,2843930,-13.097776880078396,127321,-9.432928824458322
11,2022,10,1085740,-17.867306537240136,2412087,-15.184726768942976,110496,-13.214630736484947
11,2022,11,1079581,-0.5672628806159854,2345238,-2.7714174488731125,112280,1.6145380828265277
11,2022,12,1151263,6.639798218012359,2829389,20.644002868791993,126197,12.394905593159958
21,2020,1,409067,8.484541495833708,821868,9.938748128935256,601493,-2.799692316642373
21,2020,2,413059,0.9758792569432391,781141,-4.955418631702415,588016,-2.24059132857739
21,2020,3,386044,-6.540227909330144,675111,-13.573733807340801,608954,3.560787461565672
21,2020,4,393433,1.9140305250178735,638623,-5.404740850023181,575011,-5.5739842418310745
21,2020,5,364865,-7.261210930450673,620515,-2.8354757031926505,524718,-8.746441372425918
21,2020,6,370519,1.5496142408836144,688480,10.952998718806153,556015,5.964537141855244
21,2020,7,377832,1.9737179469878736,743489,7.989919823379038,580215,4.3524005647329655
21,2020,8,473638,25.356772322090244,843973,13.51519659335915,566173,-2.420137362874107
21,2020,9,511843,8.066286911100882,829863,-1.6718544313621408,602560,6.426834200853802
21,2020,10,364706,-28.746510160342137,640624,-22.80364349296209,549992,-8.724110462028678
21,2020,11,375466,2.950321628928507,649313,1.3563338245210919,599100,8.928857147013048
21,2020,12,397009,5.737669988760633,760474,17.11978660522737,620748,3.6134201301952933
21,2021,1,445066,12.104763368084855,780568,2.6422994080007993,636644,2.560781508760399
21,2021,2,429626,-3.4691483959682383,759512,-2.697522829529266,573195,-9.966166334717675
21,2021,3,370842,-13.682598352986087,678574,-10.656579487881693,607074,5.910553999947662
21,2021,4,385927,4.067770101552683,655968,-3.331397902071108,612444,0.8845709089830893
21,2021,5,362825,-5.986106180702568,624555,-4.78880067320357,584840,-4.507187595927138
21,2021,6,376662,3.8136842830565696,686828,9.970779194786688,613462,4.893988099309213
21,2021,7,420392,11.609878352475162,796379,15.95028158432679,644608,5.0770870893388675
21,2021,8,557261,32.557470170697826,874654,9.828862890658845,605302,-6.097659352660842
21,2021,9,464201,-16.69953576510827,782966,-10.48277375968097,595120,-1.6821355290417017
21,2021,10,385219,-17.014612204626875,706026,-9.826735771412807,589639,-0.9209907245597526
21,2021,11,383089,-0.552932228161124,691908,-1.999643072634719,599219,1.6247229236872052
21,2021,12,393771,2.788385988634495,757230,9.440850517698884,636218,6.174537189241329
21,2022,1,434004,10.217359836046839,841688,11.153546478612839,645226,1.415866888393601
21,2022,2,436000,0.4599035953585681,803817,-4.499410708005817,576829,-10.6004717726812
21,2022,3,384909,-11.718119266055046,741704,-7.7272563282438655,617985,7.134870126155238
21,2022,4,395933,2.864053581495886,694334,-6.386644807092856,604113,-2.244714677540717
